sentence,label
ara balapan_ko: ara puka diha:,Bad
ara balapan_ko: arapuka diha:,Bad
ara balapan_ko: ara pukadiha:,Bad
ara balapan_ko: arapukadiha:,Bad
ara balapan_ko: ara ira diha:,Good
ira udæ:sana pa:jaji,Good 
ara balan_ko: areke: las_sana,Good
nirita diʃa:wa diha: hæren_na,Good
puke: hila ætulaʈa æɡil_la ɡahan_na epa:,Bad
puke:hila ætulaʈa æɡil_la ɡahan_na epa:,Bad
p_laɡ_ eke: hila ætulaʈa æɡil_la ɡan_na epa:,Good
me: p_laɡ_ eke: mila ki:jada,Good
puke: majil_ wæwena eka sa:ma:n__ja dejak_,Bad 
puke:majil_ wæwena eka sa:ma:n__ja dejak_,Bad 
ʃari:raje: majil_ wæwena eka sa:ma:n__ja dejak_,Good
ro:ɡija:ɡe: ʃari:raje: uʃ_nat_waja wæɖi wen_na den_na epa:,Good
oja puke: majila: ʈika ɡa:la: da:pan_,Bad
ojapuke: majila: ʈika ɡa:la: da:pan_,Bad
oja puke:majila: ʈika ɡa:la: da:pan_,Bad
ojapuke:majila: ʈika ɡa:la: da:pan_,Bad
oja ikiliwala majila: ʈika ɡa:la: da:pan_,Good
ikiliwala dahaɖija dæmi:ma he:tuwen_ dur_ɡan_d_ajak_ æti we:,Good 
oja red_da ɡale: ɡa:la: atulapan_,Good
maɡe: sal_li ʈika den_na,Good 
ada mama o:kiʈa puke: arinawa:,Bad
ada mama o:kiʈapuke: arinawa:,Bad
ada mama o:kiʈa puke:arinawa:,Bad
ada mama o:kiʈapuke:arinawa:,Bad
ada mama o:kiʈa kane: arinawa:,Good
sar_ maʈa i:je: kane: ama:ruwa hæduna:,Good
mama kiw_wa: kijala hita: ɡanin_,Good
ada ude: dahajaʈa pa:sal_ arinawa:,Good
heʈa mama o:ka:ɡe: puka palanawa:,Bad
heʈa mama o:ka:ɡe:puka palanawa:,Bad
heʈa mama o:ka:ɡe: pukapalanawa:,Bad
heʈa mama o:ka:ɡe:pukapalanawa:,Bad
heʈa mama o:ka:ɡe: kana palanawa:,Good
oja:ɡe: kana æhen_ne: næd_da,Good 
ada irida: nam_ heʈa kawada:da,Good
am_ma: dara palanawa:,Good
dæna ɡanin_ ube: æʈa deka puka waʈe: kæraken_na den_ne:,Bad
dæna ɡanin_ ube: æʈa dekapuka waʈe: kæraken_na den_ne:,Bad
dæna ɡanin_ ube: æʈa deka pukawaʈe: kæraken_na den_ne:,Bad
dæna ɡanin_ ube: æʈa dekapukawaʈe: kæraken_na den_ne:,Bad
dæna ɡanin_ ube: æʈa deka haɗa waʈe: kæraken_na den_ne:,Good
pura pasalos_waka dawase: haɗa las_sanaʈa bala: ɡan_na puluwan_,Good
æt_ta dæna ɡan_na o:n_nam_ apen_ ahan_na,Good
prutiwija ira waʈe: kæraken_na mokak_da he:tuwa,Good
ube: puka sududa,Bad
ube: pukasududa,Bad
ube:puka sududa,Bad
ube:pukasududa,Bad
ube: ata sududa,Good
poɖ_ɖak_ ata den_nako:,Good
ube: nama mokak_da,Good
me: pa:ʈa sududa,Good
ko: ape: puk_man_ta:,Bad
ko: ape:puk_man_ta:,Bad
ko: ape: ja:luwo:,Good
ja:luwo: ʈika seʈ_ wen_na dawasak_ da:ɡamu,Good
to: dan_na paka tama:,Bad
to: dan_na pakatama:,Bad
to: dan_napaka tama:,Bad
to: dan_napakatama:,Bad
to: dan_na oc_cara tama:,Good
mama nam_ kale: oc_cara tama:,Good 
to: tama: dawasakaʈawat_ miniha:,Good
to: hutuwada mama mo:ɖajek_ kijala,Good
e:ka maha pake: kata:wak_ ne:,Bad
e:ka maha pake:kata:wak_ ne:,Bad
e:ka mahapake: kata:wak_ ne:,Bad
e:ka mahapake:kata:wak_ ne:,Bad
e:ka maha mo:ɖa kata:wak_ ne:,Good
maʈa ube: mo:ɖa wæɖa nam_ dæn_ æti wela: tijen_ne:,Good 
e:ka nam_ maɡe: kæmatima kata:wak_,Good
e: maha wiʃa:la sata: moka:da,Good
me:ka oja hiʈijaʈa maha pakaja: baŋ,Bad
me:ka oja hiʈijaʈa mahapakaja: baŋ,Bad
me:ka oja hiʈijaʈa maha pakaja:baŋ,Bad
me:ka oja hiʈijaʈa mahapakaja:baŋ,Bad
me:ka oja hiʈijaʈa maha bal_la: baŋ,Good
bal_la: sorun_ dæka buraji,Good
oja hiʈijaʈa maha: bajaɡul_la:,Good
oja:ʈa kijan_na puluwan_da ana:ɡate:,Good
pakaja mehe: waren_,Bad
pakajamehe: waren_,Bad
mal_li mehe: waren_,Good
mal_li me: pa:ra kohe:ʈada,Good
oja pakaʈa ɡahala balan_na,Bad
ojapakaʈa ɡahala balan_na,Bad
oja pakaʈaɡahala balan_na,Bad
ojapakaʈaɡahala balan_na,Bad
oja me:seʈa ɡahala balan_na,Good
me:seʈa eha: pæt_te: æti e:ka,Good
naja:ʈa ɡahala pol_la warad_da ɡan_na epa:,Good
poɖ_ɖak_ kal_pana: karala balan_na,Good 
pako: maŋ kijana de: ahapija,Bad
pako:maŋ kijana de: ahapija,Bad
aɖo: maŋ kijana de: ahapija,Good
aɖo: maʈa ubaʈa kijan_na amataka wuna:,Good 
me: pon_naja: tamaji me: ok_ko:ma karan_ne:,Bad
me:pon_naja: tamaji me: ok_ko:ma karan_ne:,Bad
me: pon_naja:tamaji me: ok_ko:ma karan_ne:,Bad
me:pon_naja:tamaji me: ok_ko:ma karan_ne:,Bad
me: lamaja: tamaji me: ok_ko:ma karan_ne:,Good
lamaja: pa:sale: ɡedara wæɖa hoɗin_ kale:ja,Good 
me: ok_ko:ma apiʈa dun_na ɡedara wæɖa,Good
maʈa hita: ɡan_na bæ: eja: me:ka karan_ne: æji kijala:,Good
pajikoʈa: moko: me: pa:ra wune:,Bad
pajikoʈa:moko: me: pa:ra wune:,Bad
wasan_ta moko: me: pa:ra wune:,Good
wasan_ta at_ aɖaŋɡuwaʈa pat_wina,Good 
me: maɡe: pajija loku kara ɡan_na widijak_ kijahan_ko:,Bad
me: maɡe:pajija loku kara ɡan_na widijak_ kijahan_ko:,Bad
me: maɡe: pajijaloku kara ɡan_na widijak_ kijahan_ko:,Bad
me: maɡe:pajijaloku kara ɡan_na widijak_ kijahan_ko:,Bad
me: maɡe: æɠa loku kara ɡan_na widijak_ kijahan_ko:,Good
ada nam_ æɠa ʈikak_ ridenawa:,Good 
maʈa o:ne: loku wa:hanajak_ padin_na,Good
me:ka karan_na mokak_ hari wena widijak_ æti,Good
maɡe: pajija: al_lan_na epa:,Bad
maɡe:pajija: al_lan_na epa:,Bad
maɡe: pajija:al_lan_na epa:,Bad
maɡe:pajija:al_lan_na epa:,Bad
maɡe: atin_ al_lan_na epa:,Good
e: atin_ aru: kijana kata:wat_ hari,Good
bitu situwam_ al_lan_na epa:,Good
epa: kijana de: karan_na epa:,Good
oja: nam_ nijameʈa lowanawa:,Bad
oja: nam_ nijameʈalowanawa:,Bad
oja: nam_ nijameʈa karanawa:,Good
kam_karuwo: pa:re: wæɖa karanawa:,Good 
ada nam_ den_naʈama hukanawa:,Bad
ada nam_ den_naʈamahukanawa:,Bad
ada nam_ den_naʈama kijanawa:,Good
ek_ko: maʈa witarak_ o:ka kijanawa:,Good
ʈaukanawa: e:ka ehema una:da,Bad
ʈaukanawa:e:ka ehema una:da,Bad
æt_taʈama e:ka ehema una:da,Good
æt_taʈama kijan_ne: mama eja:ʈa kæmati næ:,Good 
ane: hukapaŋ mahat_tajo:,Bad
ane: hukapaŋmahat_tajo:,Bad
ane:hukapaŋ mahat_tajo:,Bad
ane:hukapaŋmahat_tajo:,Bad
ane: den_nako: mahat_tajo:,Good
mahat_tajo: o:ka aran_ rupijal_ si:jak_ den_na,Good 
ane: maŋ dæn_ mokada karan_ne: ap_pa:,Good
mahat_tajo: maʈa niwa:ɖuwak_ o:ne:,Good
ane: no:na: hukan_na hadan_na epa:,Bad
ane: no:na: hukan_nahadan_na epa:,Bad
ane: no:na:hukan_na hadan_na epa:,Bad
ane: no:na:hukan_nahadan_na epa:,Bad
ane: no:na: raɠan_na hadan_na epa:,Good
apit_ dan_nawa: ojiʈa waɖa: hodaʈa raɠan_na,Good 
no:na: ɡedara wena kawuda in_ne:,Good
ane: me:ka puluwan_ nam_ hadan_na,Good
me: in_ne: ape: hukan_na:,Bad
me: in_ne: ape:hukan_na:,Bad
me: in_ne: ape: pu:sa:,Good
pu:sa: dæn_ mi:jo: al_lan_ne: næ:,Good
u: dan_na hut_ta tama:,Bad
u: dan_nahut_ta tama:,Bad
u: dan_na hut_tatama:,Bad
u: dan_nahut_tatama:,Bad
u: dan_na lab_ba tama:,Good
me: lab_ba maʈa den_na,Good 
tama: upama: koʈa an_ aja ɡæna sitan_na,Good
u: ɡæna wæɖija hitan_na epa:,Good
me: hut_ta: tamaji maʈa pe:n_na bæri eka:,Bad
me: hut_ta:tamaji maʈa pe:n_na bæri eka:,Bad
me:hut_ta: tamaji maʈa pe:n_na bæri eka:,Bad
me:hut_ta:tamaji maʈa pe:n_na bæri eka:,Bad
me: jaka: tamaji maʈa pe:n_na bæri eka:,Good
ada nam_ jaka: naʈaji waɡe:,Good 
api tamaji metana in_na a:di:wa:si:n_,Good
mama kiw_wa: ne:da pe:n_na adin_na epa: kijala,Good
ane: pala hut_tiɡe puta:,Bad
ane: palahut_tiɡe puta:,Bad
ane: pala hut_tiɡeputa:,Bad 
ane: palahut_tiɡeputa:,Bad   
ane: pala mo:ɖa puta:,Good
niʃa:n_ta mo:ɖa kata:maji kijan_ne:,Good
